MZ	Intensity	Resolution	S/N
500.39721	240124	244542	0.8	
500.40026	319876	205509	1.8	
500.40320	254236	509951	1.0	
500.41070	357805	247324	2.2	
500.41674	470942	256162	3.5	
500.41965	369774	240834	2.3	
500.42200	318446	283234	1.7	
500.43391	378911	358741	2.4	
500.44202	258176	491529	1.0	
500.46040	228130	523807	0.7	
500.46485	262339	316707	1.1	
500.46979	249827	538050	0.9	
500.47733	400804	319193	2.7	
500.48864	488581	263129	3.7	
500.49989	502950	247406	3.9	
500.50533	365479	215210	2.3	
500.51156	253047	338300	1.0	
500.51426	300520	252214	1.5	
500.52424	398041	213003	2.7	
500.52687	393577	250608	2.6	
500.53587	229290	326004	0.7	
500.54028	368074	334413	2.3	
500.54306	279067	392537	1.3	
500.54549	266011	284523	1.1	
500.55036	331675	284248	1.9	
500.55369	305260	364937	1.6	
500.55775	427148	264651	3.0	
500.56300	242285	577010	0.8	
500.57441	395118	268482	2.6	
500.57833	396494	254083	2.7	
500.58145	362463	284274	2.3	
500.58615	423199	212527	3.0	
500.59005	248624	313032	0.9	
500.59782	242240	463220	0.8	
500.60064	315281	396729	1.7	
500.60691	253953	351188	1.0	
500.61590	226626	419858	0.7	
500.62265	297875	344769	1.5	
500.62599	385251	199404	2.5	
500.63209	328308	362819	1.9	
500.63632	230644	459270	0.7	
500.64240	259029	404429	1.0	
500.64640	295853	254073	1.5	
500.65397	231646	190078	0.7	
500.65799	290999	237087	1.4	
500.66299	263799	231637	1.1	
500.66499	286615	235001	1.4	
500.67812	307209	320291	1.6	
500.68933	351178	227702	2.1	
500.69314	325738	241150	1.8	
500.69538	365002	154415	2.3	
500.69691	335435	204606	1.9	
500.70547	352667	249816	2.1	
